Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend
19,2019.0,-0.39801836746533353,1.7769066965530125,-0.6054517045914901,Segera,0,Overall Stable,2.780376768609836,Stable
19,2020.0,0.20655293116762583,1.0056947395060458,-0.8466238495130967,Segera,0,Overall Stable,2.0588715201867682,Stable
19,2021.0,-0.4030021556695856,1.6664664185430695,-0.5242661153580334,Segera,0,Overall Stable,2.5937346895706885,Stable
19,2022.0,-0.6372614797569968,0.7913144102070526,0.3866399058252758,Segera,1,Overall Stable,1.8152157957893253,Stable
19,2023.0,-0.9657582689382836,1.0204543988178718,0.511432820819561,Segera,1,Overall Stable,2.497645488575716,Stable
19,2024.0,-0.47212619930602406,0.45220395240479544,0.3824309115222227,Segera,1,Overall Stable,1.3067610632330422,Stable
19,2025.0,0.0066702205253929454,-0.10973041630454786,0.06115783425895518,Segera,1,Overall Stable,0.17755847108889597,Stable
17,2019.0,-1.1919246785319435,0.9392383388882427,0.8742687931965065,Lekurruki Conservancy Trust,1,Overall Loss,3.0054318106166926,Severe Risk Loss
17,2020.0,-0.9709463876271195,0.8705795084308687,0.7079955426722476,Lekurruki Conservancy Trust,1,Overall Loss,2.5495214387302356,Severe Risk Loss
17,2021.0,-1.1317867419684398,0.872579181559013,0.85490621864413,Lekurruki Conservancy Trust,1,Overall Loss,2.8592721421715828,Severe Risk Loss
17,2022.0,-1.3694362130795363,0.36138694854709036,1.3935177997793544,Lekurruki Conservancy Trust,1,Overall Loss,3.124340961405981,Severe Risk Loss
17,2023.0,-1.3625614725812336,0.3560995177992868,1.3608096302875905,Lekurruki Conservancy Trust,1,Overall Loss,3.079470620668111,Severe Risk Loss
17,2024.0,-1.2249071590266973,0.26265290601064084,1.2785180145458985,Lekurruki Conservancy Trust,1,Overall Loss,2.7660780795832367,Severe Risk Loss
17,2025.0,-1.24949980106351,0.29062748774359354,1.268100891611366,Lekurruki Conservancy Trust,1,Overall Loss,2.8082281804184697,Severe Risk Loss
2,2019.0,0.35962912692595284,0.530135558912792,-0.6475176567977345,Lake Naivasha,0,Overall Gain,1.5372823426364794,High Risk Gain
2,2020.0,2.1245739380429534,-1.789506776255285,-1.7659529721601488,Lake Naivasha,2,Overall Gain,5.680033686458387,High Risk Gain
2,2021.0,0.42911664162909446,0.8634131482248476,-0.7477942080694503,Lake Naivasha,0,Overall Gain,2.0403239979233923,High Risk Gain
2,2022.0,-0.09234784583416686,0.060902175657185496,0.24063081280905996,Lake Naivasha,1,Overall Gain,0.3938808343004123,Moderate Risk Gain
2,2023.0,-0.1783789416320454,0.19158609824652229,0.2559835901179166,Lake Naivasha,1,Overall Gain,0.6259486299964843,Moderate Risk Gain
2,2024.0,0.17446913089884925,-0.4317777728045748,0.12161583196889032,Lake Naivasha,1,Overall Gain,0.7278627356723144,Moderate Risk Gain
2,2025.0,0.8719857396096933,-1.49283180875225,-0.4686562884040083,Lake Naivasha,2,Overall Gain,2.8334738367659518,High Risk Gain
18,2019.0,-1.9421590385549992,-0.30613287683671164,2.9016324032232137,Ndera Community Conservancy,1,Overall Loss,5.149924318614925,Severe Risk Loss
18,2020.0,-1.974391829614185,-0.29304505419811183,3.0318278568825607,Ndera Community Conservancy,1,Overall Loss,5.299264740694857,Severe Risk Loss
18,2021.0,-1.9391026106645157,-0.35173874108532444,2.93181242977296,Ndera Community Conservancy,1,Overall Loss,5.2226537815228005,Severe Risk Loss
18,2022.0,-1.7823872261927913,-0.47991087346042116,2.524187750786455,Ndera Community Conservancy,1,Overall Loss,4.786485850439668,Severe Risk Loss
18,2023.0,-1.8030862122057776,-0.5235225653563097,2.6202028816707132,Ndera Community Conservancy,1,Overall Loss,4.9468116592328,Severe Risk Loss
18,2024.0,-1.753214735352979,-0.44074647696581654,2.4776712688732796,Ndera Community Conservancy,1,Overall Loss,4.671632481192075,Severe Risk Loss
18,2025.0,-1.7168887974734741,-0.5188397638435912,2.4384004314576604,Ndera Community Conservancy,1,Overall Loss,4.674128992774726,Severe Risk Loss
22,2019.0,-0.5515786946270971,0.9267089638138598,0.2479054299960069,Melako Community Conservancy,0,Overall Stable,1.7261930884369636,Stable
22,2020.0,1.1373443802803582,-0.35199293042783075,-1.014559322401685,Melako Community Conservancy,2,Overall Stable,2.503896633109874,Stable
22,2021.0,-0.5868843663816244,1.1020805637036801,0.18548353430390446,Melako Community Conservancy,0,Overall Stable,1.8744484643892092,Stable
22,2022.0,-0.12289069749943307,-0.2755262973484982,0.21291764350800685,Melako Community Conservancy,1,Overall Stable,0.6113346383559382,Stable
22,2023.0,-1.1039425778662109,0.733512433587969,1.1334773807575764,Melako Community Conservancy,1,Overall Stable,2.9709323922117563,Stable
22,2024.0,-0.30882491333285117,0.06013572531847543,0.5410201878874066,Melako Community Conservancy,1,Overall Stable,0.9099808265387332,Stable
22,2025.0,-0.6847557964876757,0.3674044093944781,0.7147696582777135,Melako Community Conservancy,1,Overall Stable,1.7669298641598674,Stable
23,2019.0,-0.48253625337887324,1.4883513973946656,-0.35494474330748965,Mpus Kutuk Community Conservancy,0,Overall Loss,2.3258323940810284,Severe Risk Loss
23,2020.0,-0.14142019354729127,1.0879271043955983,-0.5258076843667928,Mpus Kutuk Community Conservancy,0,Overall Loss,1.7551549823096821,Severe Risk Loss
23,2021.0,-0.6108065224322354,1.7251011064729216,-0.25196135877799203,Mpus Kutuk Community Conservancy,0,Overall Loss,2.587868987683149,Severe Risk Loss
23,2022.0,-0.7889590172553108,0.6057211049011495,0.5802702774090046,Mpus Kutuk Community Conservancy,1,Overall Loss,1.974950399565465,Severe Risk Loss
