Protected_Area_Name,Year,Mean_Rainfall_mm
Aberdare,2019,23.086656447556926
Aberdare,2020,29.29123865347545
Aberdare,2021,17.633955679699213
Aberdare,2022,15.97101337004219
Aberdare,2023,19.016004721617055
Aberdare,2024,28.541705641541416
Aberdare,2025,13.405851089750096
Amboseli,2019,9.866938825791964
Amboseli,2020,9.479292839372649
Amboseli,2021,6.85945469081847
Amboseli,2022,5.462365551158029
Amboseli,2023,6.907824286622891
Amboseli,2024,10.838980595412876
Amboseli,2025,13.245860235997412
Arabuko Sokoke,2019,21.172915916475986
Arabuko Sokoke,2020,16.87246560470925
Arabuko Sokoke,2021,10.702120957275232
Arabuko Sokoke,2022,11.335158108837074
Arabuko Sokoke,2023,20.535597727944452
Arabuko Sokoke,2024,12.437026814868053
Arabuko Sokoke,2025,1.3776551683743792
Arawale,2019,11.706766391369218
Arawale,2020,9.691381279483586
Arawale,2021,7.898060926882696
Arawale,2022,5.88327028252019
Arawale,2023,11.565877423411521
Arawale,2024,8.736590360567824
Arawale,2025,1.095503862667052
Awer Community Conservancy,2019,10.441615853170033
Awer Community Conservancy,2020,11.780366629074269
Awer Community Conservancy,2021,6.06273532668956
Awer Community Conservancy,2022,8.536855873075599
Awer Community Conservancy,2023,13.246961817603125
Awer Community Conservancy,2024,10.8027415308296
Awer Community Conservancy,2025,0.4812745104198722
Biliqo-Bulesa Community Conservancy,2019,7.442542520233567
Biliqo-Bulesa Community Conservancy,2020,6.232663131620596
Biliqo-Bulesa Community Conservancy,2021,3.6337790535502816
Biliqo-Bulesa Community Conservancy,2022,3.670457238043795
Biliqo-Bulesa Community Conservancy,2023,10.354656991416238
Biliqo-Bulesa Community Conservancy,2024,4.868535845221815
Biliqo-Bulesa Community Conservancy,2025,0.6754399180036491
Bisandi,2019,14.226669022678898
Bisandi,2020,10.241163703364778
Bisandi,2021,8.01290441895959
Bisandi,2022,8.032167916728525
Bisandi,2023,17.42178429832587
Bisandi,2024,11.206840198695708
Bisandi,2025,1.6886334126622426
Boni,2019,9.945265804781085
Boni,2020,10.888136756834358
Boni,2021,5.679751072934884
Boni,2022,7.22525952434041
Boni,2023,10.777747809978177
Boni,2024,9.800638892719169
Boni,2025,0.4286132275751442
Borana,2019,18.429976433460364
Borana,2020,17.39716859669059
Borana,2021,10.99639831270649
Borana,2022,9.244984795325774
Borana,2023,16.963004919567904
Borana,2024,14.548799327449318
Borana,2025,9.398083493848482
Buffalo Springs,2019,9.916907651429588
Buffalo Springs,2020,9.60950293738553
Buffalo Springs,2021,6.051601088136554
Buffalo Springs,2022,5.057771190206162
Buffalo Springs,2023,10.731630446541972
Buffalo Springs,2024,8.52795102514324
Buffalo Springs,2025,2.595425328266794
Central Island,2019,9.044733279086904
Central Island,2020,11.727165044992823
Central Island,2021,5.94158310828363
Central Island,2022,6.530606419844826
Central Island,2023,10.445027118637448
Central Island,2024,11.971250768184929
Central Island,2025,1.078603546838371
Chepkitale,2019,27.61731420735518
Chepkitale,2020,33.66721794659297
Chepkitale,2021,22.284063735448445
Chepkitale,2022,24.263563593319613
Chepkitale,2023,22.00109996331621
Chepkitale,2024,26.690955618551488
Chepkitale,2025,8.42259778075748
Chyulu Hills,2019,14.758136446832733
Chyulu Hills,2020,13.250511068424576
Chyulu Hills,2021,10.262686665908882
Chyulu Hills,2022,7.176834406620255
Chyulu Hills,2023,11.784929023601649
Chyulu Hills,2024,14.104688712877225
Chyulu Hills,2025,10.318041863101337
Dodori,2019,10.299000395856634
Dodori,2020,12.409027038698515
Dodori,2021,5.938149384902476
Dodori,2022,8.653268638674733
Dodori,2023,12.78821599745851
Dodori,2024,10.705905791911995
Dodori,2025,0.4262483811447199
Elangata Wuas,2019,10.372852620161318
Elangata Wuas,2020,11.29361057546452
Elangata Wuas,2021,7.346053350874641
Elangata Wuas,2022,6.622280038129032
Elangata Wuas,2023,7.184392062263928
Elangata Wuas,2024,14.497518990294505
Elangata Wuas,2025,9.342229235749146
Elerai,2019,12.25304673619242
Elerai,2020,10.664712592736405
Elerai,2021,8.770755200810457
Elerai,2022,6.648420922651784
Elerai,2023,8.675731575716355
Elerai,2024,12.488556455891812
Elerai,2025,17.45588108843511
Esenlenkei,2019,10.717587092083024
Esenlenkei,2020,11.295231745296753
Esenlenkei,2021,8.287627740970482
Esenlenkei,2022,5.96317968920739
Esenlenkei,2023,9.015886555509065
Esenlenkei,2024,12.813746816152937
Esenlenkei,2025,11.443713591019673
Hanshak-Nyongoro Community Conservancy,2019,15.28766532045444
Hanshak-Nyongoro Community Conservancy,2020,11.910890995766685
Hanshak-Nyongoro Community Conservancy,2021,8.134455122090142
Hanshak-Nyongoro Community Conservancy,2022,8.184933978478984
Hanshak-Nyongoro Community Conservancy,2023,17.646312094081118
Hanshak-Nyongoro Community Conservancy,2024,10.857143553910724
Hanshak-Nyongoro Community Conservancy,2025,0.869261433146301
Hell's Gate,2019,15.635805769996649
Hell's Gate,2020,17.725235976858624
Hell's Gate,2021,11.8870023877978
Hell's Gate,2022,10.456413285436843
Hell's Gate,2023,11.91806521593466
Hell's Gate,2024,21.284843027419296
Hell's Gate,2025,17.462504778087457
ILRI Conservancy,2019,12.991108515677286
ILRI Conservancy,2020,12.324679195963824
ILRI Conservancy,2021,9.55842218431467
ILRI Conservancy,2022,6.52721653503582
ILRI Conservancy,2023,9.62586342881552
ILRI Conservancy,2024,16.8764531328662
ILRI Conservancy,2025,14.781913922022106
Il Ngwesi Community Trust,2019,16.62472906112038
Il Ngwesi Community Trust,2020,17.004283058347664
Il Ngwesi Community Trust,2021,10.459042392321122
Il Ngwesi Community Trust,2022,8.715012501747902
Il Ngwesi Community Trust,2023,17.482709489122115
Il Ngwesi Community Trust,2024,14.160451854775047
Il Ngwesi Community Trust,2025,7.4221553886027065
Imbirikani,2019,9.83177749932046
Imbirikani,2020,9.925303989666155
Imbirikani,2021,7.4769559458400785
Imbirikani,2022,5.153715333365911
Imbirikani,2023,8.08967529463902
Imbirikani,2024,10.513377091926344
Imbirikani,2025,10.537195958567002
Ishaqbini Hirola Community Conservancy,2019,15.800584989378857
Ishaqbini Hirola Community Conservancy,2020,11.80113026382252
Ishaqbini Hirola Community Conservancy,2021,9.769145857008127
Ishaqbini Hirola Community Conservancy,2022,7.522276622483643
Ishaqbini Hirola Community Conservancy,2023,16.925153031688694
Ishaqbini Hirola Community Conservancy,2024,10.728626391573014
Ishaqbini Hirola Community Conservancy,2025,0.9170217623659217
Jaldesa Community Conservancy,2019,10.343559044599319
Jaldesa Community Conservancy,2020,11.019317664985982
Jaldesa Community Conservancy,2021,4.776564050183176
Jaldesa Community Conservancy,2022,5.5379208111994975
Jaldesa Community Conservancy,2023,15.868410221285675
Jaldesa Community Conservancy,2024,8.470710925773043
Jaldesa Community Conservancy,2025,2.2054355294580827
Kakamega,2019,33.232766197625104
Kakamega,2020,42.69613484297599
Kakamega,2021,30.832294087864298
Kakamega,2022,34.9316428012442
Kakamega,2023,33.0394360624797
Kakamega,2024,34.64036833113437
Kakamega,2025,11.115238108517666
Kalama Community Wildlife Conservancy,2019,11.904983225978377
Kalama Community Wildlife Conservancy,2020,11.201928658509482
Kalama Community Wildlife Conservancy,2021,7.133166061635641
Kalama Community Wildlife Conservancy,2022,6.018085985994409
Kalama Community Wildlife Conservancy,2023,13.490473191884448
Kalama Community Wildlife Conservancy,2024,9.78602312271749
Kalama Community Wildlife Conservancy,2025,3.0714176684147545
Kamnarok,2019,17.770398228348657
Kamnarok,2020,24.33195718179744
Kamnarok,2021,13.392682831591461
Kamnarok,2022,13.5375604671488
Kamnarok,2023,13.708964490773884
Kamnarok,2024,18.678393355952647
Kamnarok,2025,6.606408401348251
Kenya Lake System in the Great Rift Valley,2019,15.323543893840347
Kenya Lake System in the Great Rift Valley,2020,19.52977043440453
Kenya Lake System in the Great Rift Valley,2021,12.854769451042394
Kenya Lake System in the Great Rift Valley,2022,12.361889005099538
Kenya Lake System in the Great Rift Valley,2023,12.898294291943358
Kenya Lake System in the Great Rift Valley,2024,17.34353312468049
Kenya Lake System in the Great Rift Valley,2025,7.009786232685049
Kerio Valley,2019,18.384304767045723
Kerio Valley,2020,24.850469892300268
Kerio Valley,2021,13.600149608912666
Kerio Valley,2022,13.986437034980861
Kerio Valley,2023,14.150445113304704
Kerio Valley,2024,19.051843633726016
Kerio Valley,2025,6.456402179544835
Kimana Wildlife Sanctuary,2019,9.588069449053656
Kimana Wildlife Sanctuary,2020,9.374646418087552
Kimana Wildlife Sanctuary,2021,7.252599827004393
Kimana Wildlife Sanctuary,2022,5.363696781354822
Kimana Wildlife Sanctuary,2023,7.260390484935767
Kimana Wildlife Sanctuary,2024,9.683884657881244
Kimana Wildlife Sanctuary,2025,13.556550272819509
Kisumu Impala,2019,24.275033117996323
Kisumu Impala,2020,33.01171971691979
Kisumu Impala,2021,23.17217626505428
Kisumu Impala,2022,27.595318956507576
Kisumu Impala,2023,25.495153850979275
Kisumu Impala,2024,25.594602326552074
Kisumu Impala,2025,12.884641806284586
Kora,2019,12.368432029035775
Kora,2020,6.463331277701935
Kora,2021,5.7436332933165275
Kora,2022,5.9803949142520345
Kora,2023,14.307146578221413
Kora,2024,8.719555762438882
Kora,2025,1.2798759162319906
Laikipia,2019,10.84349894464767
Laikipia,2020,11.73897497242433
Laikipia,2021,6.662139718728734
Laikipia,2022,5.328525739745435
Laikipia,2023,8.908748235054482
Laikipia,2024,8.92575180313992
Laikipia,2025,2.9532302765934553
Lake Bogoria,2019,16.361821483760977
Lake Bogoria,2020,21.610118170737742
Lake Bogoria,2021,12.87652812214432
Lake Bogoria,2022,12.463103984498638
Lake Bogoria,2023,12.855293687638516
Lake Bogoria,2024,17.609426098134772
